Component ID,Name,Category,Status,Description,Purpose,Inputs,Outputs,Templates,Slots,Rules
input,Input,io,approved,Model input (token embeddings),"io (io, source)",,"y:tensor[B,S,D]",,,
output,Graph output,io,approved,Graph output passthrough,io (io),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,
output_head,Output Head,io,approved,Model output projection to vocabulary,"io (io, sink)","x:tensor[B,S,D]","logits:tensor[B,S,V]",,,
adaptive_rank_gate,Progressive Compression Gate,linear_algebra,approved,Learned per-layer compression schedule.,"linear_algebra (parameterized, learnable, compression, exotic)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: semi_structured_2_4_linear,mean_last,sum_last,norm_last,max_last,nm_sparse_linear,block_sparse_linear; forbidden_after: rmsnorm,split2,split3; mode:GENERAL"
block_sparse_linear,Block-sparse linear projection with configurable block density,linear_algebra,approved,Block-sparse linear projection with configurable block density,"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,forbidden_after: swiglu_mlp; mode:GENERAL
conv1d_seq,Depthwise 1D convolution (kernel=3) along seq dim,linear_algebra,approved,Depthwise 1D convolution (kernel=3) along seq dim,"linear_algebra (parameterized, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: neg; mode:GENERAL"
dual_compression_blend,Compression Mixture Experts,linear_algebra,approved,Routing assigns tokens to method-specific compression experts.,"linear_algebra (parameterized, learnable, compression, moe, exotic)","x:tensor[B,S,D]; routing_signal:tensor[B,S,2]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: compute_budget_router,gated_lane_blend,adaptive_rank_gate,arch_router,learned_token_gate,confidence_token_gate,difficulty_blend_3way,hetero_moe,depth_gated_transform,depth_weighted_proj,output_head,signal_conditioned_compression,feature_sparsity,sparse_bottleneck_moe,relu_gated_moe; mode:GENERAL"
fused_linear_gelu,Fused Linear + Bias + GELU (Triton-accelerated),linear_algebra,approved,Fused Linear + Bias + GELU (Triton-accelerated),"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: split2,split3; mode:GENERAL"
kronecker_linear,Kronecker-factored linear projection,linear_algebra,approved,"Linear projection via Kronecker product factorization: W = A ⊗ B where A,B are sqrt(D)×sqrt(D). Parameters: 2*D vs D² for standard linear.","linear_algebra (parameterized, learnable, vram_efficient)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
latent_attention_compressor,Latent Attention Compressor,linear_algebra,approved,Multi-Head Latent Attention (MLA) style KV cache compression,"linear_algebra (kv_compression, attention, linear_algebra)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
learnable_bias,Learnable per-dimension bias,linear_algebra,approved,Learnable per-dimension bias,"linear_algebra (parameterized, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
learnable_scale,Learnable per-dimension scale,linear_algebra,approved,Learnable per-dimension scale,"linear_algebra (parameterized, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
linear_proj,Learned linear projection (D -> D),linear_algebra,approved,Learned linear projection (D -> D),"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,forbidden_after: output_head; mode:GENERAL
linear_proj_down,Learned linear projection (D -> D//2),linear_algebra,approved,Learned linear projection (D -> D//2),"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,"forbidden_after: adaptive_recursion,conv1d_seq,linear_proj_up,concat,swiglu_mlp,linear_proj,gated_linear,identity,relu_gated_moe; mode:GENERAL"
linear_proj_up,Learned linear projection (D//2 -> D),linear_algebra,approved,Learned linear projection (D//2 -> D),"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,"forbidden_before: cos; forbidden_after: mul,linear_proj_up,linear_proj; mode:GENERAL"
matmul,Batched matrix multiply,linear_algebra,approved,Batched matrix multiply,linear_algebra (linear_algebra),"a:tensor[B,S,D]; b:tensor[B,D,K]","y:tensor[B,S,K]",,,"forbidden_before: rmsnorm,mean_last,sum_last,norm_last,layernorm,max_last; forbidden_after: output_head,split2,split3,gather_topk; requires_residual; mode:GENERAL"
nm_sparse_linear,N:M structured sparse linear projection (2:4 default),linear_algebra,approved,N:M structured sparse linear projection (2:4 default),"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,"forbidden_after: gated_lane_blend,adaptive_rank_gate,learned_token_gate,confidence_token_gate,moe_topk,difficulty_blend_3way,moe_2expert,feature_sparsity,sparse_bottleneck_moe,arch_router,compute_budget_router,relu_gated_moe,tanh,hetero_moe,depth_gated_transform,depth_weighted_proj,signal_conditioned_compression; mode:GENERAL"
outer_product,Elementwise (Hadamard) product of two inputs,linear_algebra,approved,Elementwise (Hadamard) product of two inputs,linear_algebra (linear_algebra),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3,gather_topk; requires_residual; mode:GENERAL"
rmsnorm,Root Mean Square Layer Normalization (Triton-accelerated),linear_algebra,approved,Root Mean Square Layer Normalization (Triton-accelerated),"linear_algebra (parameterized, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: progressive_compression_gate,chebyshev_spectral_mix,moe_topk; forbidden_after: identity; mode:GENERAL"
rwkv_channel,RWKV channel mixing,linear_algebra,approved,RWKV-style channel mixing with key/value/receptance gates,"linear_algebra (gating, rwkv)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
selective_scan,SSM-style input-dependent state scan,linear_algebra,approved,SSM-style input-dependent state scan,"linear_algebra (parameterized, learnable, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: max_last,split3,transpose_sd,mean_last,sum_last,norm_last,token_merge,split2,identity; forbidden_after: state_space,output_head,selective_scan; requires_residual; mode:GENERAL"
semi_structured_2_4_linear,Semi-structured 2:4 sparse linear projection with compatibility gating,linear_algebra,approved,Semi-structured 2:4 sparse linear projection with compatibility gating,"linear_algebra (parameterized, learnable)","x:tensor[B,S,D_in]","y:tensor[B,S,D_out]",,,"forbidden_after: gated_lane_blend,adaptive_rank_gate,learned_token_gate,confidence_token_gate,moe_topk,difficulty_blend_3way,moe_2expert,feature_sparsity,sparse_bottleneck_moe,arch_router,compute_budget_router,relu_gated_moe,hetero_moe,depth_gated_transform,depth_weighted_proj,signal_conditioned_compression; mode:GENERAL"
signal_conditioned_compression,Routing Conditioned Compression,linear_algebra,approved,Compression level chosen per-token by routing signal.,"linear_algebra (parameterized, learnable, compression, exotic)","x:tensor[B,S,D]; routing_signal:tensor[B,S,1]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: compute_budget_router,split2,gated_lane_blend,adaptive_rank_gate,arch_router,learned_token_gate,confidence_token_gate,split3,difficulty_blend_3way,hetero_moe,depth_gated_transform,depth_weighted_proj,signal_conditioned_compression,feature_sparsity,sparse_bottleneck_moe,relu_gated_moe; mode:GENERAL"
ternary_projection,Ternary Projection,linear_algebra,approved,"1.58-bit ternary simulated projection (-1, 0, 1 weights)","linear_algebra (quantization, sparse_compute, linear_algebra)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
topk_gate,"Sparse gating: project to 2 gate scores, weight feature halves",linear_algebra,approved,"Sparse gating: project to 2 gate scores, weight feature halves","linear_algebra (parameterized, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: gated_lane_blend,adaptive_rank_gate,learned_token_gate,confidence_token_gate,moe_topk,difficulty_blend_3way,moe_2expert,output_head,feature_sparsity,sparse_bottleneck_moe,arch_router,compute_budget_router,relu_gated_moe,hetero_moe,depth_gated_transform,depth_weighted_proj,signal_conditioned_compression; mode:GENERAL"
transpose_sd,Transpose sequence and feature dims,linear_algebra,approved,Transpose sequence and feature dims,linear_algebra (linear_algebra),"x:tensor[B,S,D]","y:tensor[B,D,S]",,,"forbidden_before: transpose_sd,mean_last,sum_last,norm_last,max_last; forbidden_after: output_head,split2,split3; requires_residual; mode:GENERAL"
abs,Absolute value,math,approved,Absolute value,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
add,Element-wise addition,math,approved,Element-wise addition,math (elementwise_binary),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,forbidden_after: output_head; mode:GENERAL
cos,Cosine,math,approved,Cosine,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: concat,linear_proj_down,split2,split3,linear_proj_up; mode:GENERAL"
cosine_similarity,Cosine Similarity,math,approved,Normalized dot product,"math (functional, similarity)","a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,1]",,,"forbidden_before: rmsnorm,mean_last,sum_last,norm_last,layernorm,max_last; forbidden_after: output_head,split2,split3,gather_topk; requires_residual; mode:GENERAL"
cumprod_safe,Cumulative product (clamped) along seq dim,math,approved,Cumulative product (clamped) along seq dim,"math (reduction, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
cumsum,Cumulative sum along sequence dim,math,approved,Cumulative sum along sequence dim,math (reduction),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
div_safe,Element-wise division (clamped denominator),math,approved,Element-wise division (clamped denominator),"math (elementwise_binary, numerically_risky)","a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; requires_residual; mode:GENERAL"
exp,Exponential,math,approved,Exponential,"math (elementwise_unary, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,linear_proj,mul,split2,split3; mode:GENERAL"
gelu,GELU activation,math,approved,GELU activation,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
log,Natural logarithm (clamped input),math,approved,Natural logarithm (clamped input),"math (elementwise_unary, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
max_last,Max along last dimension,math,approved,Max along last dimension,math (reduction),"x:tensor[B,S,D]","y:tensor[B,S,1]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
maximum,Element-wise maximum,math,approved,Element-wise maximum,math (elementwise_binary),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
mean_last,Mean along last dimension,math,approved,Mean along last dimension,math (reduction),"x:tensor[B,S,D]","y:tensor[B,S,1]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
minimum,Element-wise minimum,math,approved,Element-wise minimum,math (elementwise_binary),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
mul,Element-wise multiplication (gating),math,approved,Element-wise multiplication (gating),math (elementwise_binary),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
neg,Negate: -x,math,approved,Negate: -x,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
norm_last,L2 norm along last dimension,math,approved,L2 norm along last dimension,math (reduction),"x:tensor[B,S,D]","y:tensor[B,S,1]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
reciprocal,1/x (clamped),math,approved,1/x (clamped),"math (elementwise_unary, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
relu,ReLU,math,approved,ReLU,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
sigmoid,Sigmoid,math,approved,Sigmoid,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
sign_ste,Sign with straight-through estimator,math,approved,Sign with straight-through estimator,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
silu,SiLU (Swish) activation,math,approved,SiLU (Swish) activation,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
sin,Sine,math,approved,Sine,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
sqrt,Square root (clamped input),math,approved,Square root (clamped input),"math (elementwise_unary, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
square,Square: x^2,math,approved,Square: x^2,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
sub,Element-wise subtraction,math,approved,Element-wise subtraction,math (elementwise_binary),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
sum_last,Sum along last (feature) dimension,math,approved,Sum along last (feature) dimension,math (reduction),"x:tensor[B,S,D]","y:tensor[B,S,1]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
tanh,Hyperbolic tangent,math,approved,Hyperbolic tangent,math (elementwise_unary),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head; mode:GENERAL"
bottleneck_proj,Squeeze-expand bottleneck (D→D/4→D),math_space,approved,Squeeze-expand bottleneck (D→D/4→D),"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: cos; mode:GENERAL"
clifford_attention,Attention via geometric product (dot + wedge) for richer token scores,math_space,approved,Attention via geometric product (dot + wedge) for richer token scores,"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
exp_map,Exponential map: Euclidean -> Poincare ball,math_space,approved,Exponential map: Euclidean -> Poincare ball,"math_space (math_space, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
geometric_product,Clifford geometric product (dot + wedge),math_space,approved,Clifford geometric product (dot + wedge),math_space (math_space),"a:tensor[B,S,D]; b:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; requires_residual; mode:GENERAL"
grade_mix,Blend vector and bivector grades in Clifford multivectors,math_space,approved,Blend vector and bivector grades in Clifford multivectors,math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
grade_select,Select vector grade from Clifford multivector,math_space,approved,Select vector grade from Clifford multivector,math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,
grouped_linear,Block-diagonal linear (4 groups),math_space,approved,Block-diagonal linear (4 groups),"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
hyp_distance,Hyperbolic distance between two points in the Poincare ball,math_space,approved,Hyperbolic distance between two points in the Poincare ball,"math_space (math_space, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,1]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
hyp_linear,Linear transformation in hyperbolic space,math_space,approved,Linear transformation in hyperbolic space,"math_space (math_space, learnable, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,forbidden_after: output_head; mode:GENERAL
hyp_tangent_nonlinear,Tangent-space nonlinearity with exp/log manifold mapping,math_space,approved,Tangent-space nonlinearity with exp/log manifold mapping,"math_space (math_space, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,forbidden_after: output_head; mode:GENERAL
hyperbolic_norm,Manifold-aware normalization: log-map → LayerNorm → exp-map,math_space,approved,Manifold-aware normalization: log-map → LayerNorm → exp-map,"math_space (math_space, learnable, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
lif_neuron,Leaky Integrate-and-Fire neuron with surrogate gradient,math_space,approved,Leaky Integrate-and-Fire neuron with surrogate gradient,math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: split2,split3; mode:GENERAL"
log_map,Logarithmic map: Poincare ball -> Euclidean,math_space,approved,Logarithmic map: Poincare ball -> Euclidean,"math_space (math_space, numerically_risky)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
low_rank_proj,Low-rank factored linear (rank=D/4),math_space,approved,Low-rank factored linear (rank=D/4),"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
padic_expand,Multi-scale p-adic expansion and projection,math_space,approved,Multi-scale p-adic expansion and projection,"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: geometric_product,clifford_attention,tropical_matmul,tropical_center,hyp_linear,hyp_tangent_nonlinear,ultrametric_attention,tropical_gate,chebyshev_spectral_mix,grade_select,tropical_router,rotor_transform; mode:GENERAL"
padic_gate,Gate activations by smooth p-adic valuation strength,math_space,approved,Gate activations by smooth p-adic valuation strength,math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: geometric_product,clifford_attention,tropical_matmul,tropical_center,hyp_linear,hyp_tangent_nonlinear,ultrametric_attention,tropical_gate,chebyshev_spectral_mix,output_head,grade_select,tropical_router,rotor_transform; mode:GENERAL"
padic_residual,Multi-resolution p-adic expansion with per-scale transform + residual,math_space,approved,Multi-resolution p-adic expansion with per-scale transform + residual,"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: geometric_product,clifford_attention,tropical_matmul,tropical_center,hyp_linear,hyp_tangent_nonlinear,ultrametric_attention,tropical_gate,chebyshev_spectral_mix,output_head,grade_select,tropical_router,rotor_transform; mode:GENERAL"
poincare_add,Mobius addition with learnable bias in Poincare ball,math_space,approved,Mobius addition with learnable bias in Poincare ball,"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
rotor_transform,Clifford rotor transformation (efficient rotation),math_space,approved,Clifford rotor transformation (efficient rotation),"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,
shared_basis_proj,Shared-basis projection (8 basis vectors),math_space,approved,Shared-basis projection (8 basis vectors),"math_space (math_space, learnable)","x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
sparse_threshold,Adaptive median-based threshold gate (~50% sparsity),math_space,approved,Adaptive median-based threshold gate (~50% sparsity),math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,forbidden_after: output_head; mode:GENERAL
spike_rate_code,Continuous-to-spike-to-continuous rate coding with STE,math_space,approved,Continuous-to-spike-to-continuous rate coding with STE,math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,"forbidden_before: mean_last,max_last,sum_last,norm_last; forbidden_after: output_head,split2,split3; mode:GENERAL"
stdp_attention,STDP-inspired causal attention with temporal decay kernel,math_space,approved,STDP-inspired causal attention with temporal decay kernel,math_space (math_space),"x:tensor[B,S,D]","y:tensor[B,S,D]",,,forbidden_after: output_head; mode:GENERAL
