component,classifications,exact_evidence,code_path,reproduction_command,code_fix_needed,rules_fix_needed,rerun_needed,screening_interpretation_change
integral_kernel,M. valid but weak,"obs=50 compile_rate=92.0% s1_rate=0.0% recent_obs=50 recent_s1=0 bf16_errors=23 init_poisoned=0 top_errors={'RuntimeError': 21, 'causality_violation': 10, 'rapid_screening_error': 7, 'unstable_dynamics': 6}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus integral_kernel,False,False,False,False
split3,K. structural/non-learnable op; L. niche op needing restricted placement,"obs=50 compile_rate=62.0% s1_rate=0.0% recent_obs=50 recent_s1=0 bf16_errors=14 init_poisoned=0 top_errors={'forward_error': 19, 's1_fail': 16, 'rapid_screening_error': 15}",research/synthesis/motifs.py / research/synthesis/templates.py,python -m research.tools.audit_low_s1_components --focus split3,False,True,False,True
exp,H. numerical instability; M. valid but weak,"obs=47 compile_rate=91.5% s1_rate=0.0% recent_obs=47 recent_s1=0 bf16_errors=2 init_poisoned=0 top_errors={'s1_fail': 23, 'unstable_dynamics': 16, 'forward_error': 4, 'rapid_screening_error': 4}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus exp,False,False,False,False
cumprod_safe,,"obs=40 compile_rate=97.5% s1_rate=0.0% recent_obs=40 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 33, 'rapid_screening_error': 6, 'forward_error': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus cumprod_safe,False,False,False,False
lif_neuron,D. graph-context misuse; L. niche op needing restricted placement,"obs=40 compile_rate=85.0% s1_rate=0.0% recent_obs=40 recent_s1=0 bf16_errors=1 init_poisoned=0 top_errors={'s1_fail': 17, 'causality_violation': 10, 'rapid_screening_error': 7, 'cuda_fatal': 4}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus lif_neuron,False,True,False,False
sparse_threshold,D. graph-context misuse; G. shape/contract mismatch; L. niche op needing restricted placement,"obs=36 compile_rate=63.9% s1_rate=0.0% recent_obs=36 recent_s1=0 bf16_errors=3 init_poisoned=0 top_errors={'rapid_screening_error': 14, 'nan_forward': 9, 's1_fail': 9, 'forward_error': 3}",research/synthesis/compiler_ops_mathspaces.py,python -m research.tools.audit_low_s1_components --focus sparse_threshold,False,True,False,False
stdp_attention,D. graph-context misuse; G. shape/contract mismatch; L. niche op needing restricted placement,"obs=36 compile_rate=63.9% s1_rate=0.0% recent_obs=36 recent_s1=0 bf16_errors=3 init_poisoned=0 top_errors={'rapid_screening_error': 14, 'nan_forward': 9, 's1_fail': 9, 'forward_error': 3}",research/synthesis/compiler_ops_mathspaces.py,python -m research.tools.audit_low_s1_components --focus stdp_attention,False,True,False,False
cumsum,M. valid but weak,"obs=31 compile_rate=80.6% s1_rate=0.0% recent_obs=31 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 9, 'rapid_screening_error': 8, 'unstable_dynamics': 7, 'forward_error': 6}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus cumsum,False,False,False,False
sub,M. valid but weak,"obs=31 compile_rate=96.8% s1_rate=0.0% recent_obs=31 recent_s1=0 bf16_errors=10 init_poisoned=0 top_errors={'rapid_screening_error': 19, 'RuntimeError': 10, 'cuda_fatal': 1, 's1_fail': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus sub,False,False,False,False
chebyshev_spectral_mix,M. valid but weak,"obs=30 compile_rate=93.3% s1_rate=0.0% recent_obs=30 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 21, 'rapid_screening_error': 5, 'causality_violation': 2, 'cuda_fatal': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus chebyshev_spectral_mix,False,False,False,False
minimum,M. valid but weak,"obs=24 compile_rate=91.7% s1_rate=0.0% recent_obs=24 recent_s1=0 bf16_errors=9 init_poisoned=0 top_errors={'s1_fail': 13, 'RuntimeError': 9, 'cuda_fatal': 2}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus minimum,False,False,False,False
embedding_lookup,,"obs=23 compile_rate=78.3% s1_rate=0.0% recent_obs=23 recent_s1=0 bf16_errors=4 init_poisoned=0 top_errors={'s1_fail': 15, 'forward_error': 5, 'rapid_screening_error': 3}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus embedding_lookup,False,False,False,False
geometric_product,D. graph-context misuse; G. shape/contract mismatch; L. niche op needing restricted placement,"obs=23 compile_rate=95.7% s1_rate=0.0% recent_obs=23 recent_s1=0 bf16_errors=7 init_poisoned=0 top_errors={'rapid_screening_error': 8, 'RuntimeError': 7, 's1_fail': 7, 'forward_error': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus geometric_product,False,True,False,False
n_way_sparse_router,D. graph-context misuse; L. niche op needing restricted placement,"obs=22 compile_rate=54.5% s1_rate=0.0% recent_obs=22 recent_s1=0 bf16_errors=2 init_poisoned=0 top_errors={'rapid_screening_error': 7, 's1_fail': 5, 'RuntimeError': 4, 'forward_error': 4}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus n_way_sparse_router,False,True,False,False
sign_ste,H. numerical instability; M. valid but weak,"obs=22 compile_rate=86.4% s1_rate=0.0% recent_obs=22 recent_s1=0 bf16_errors=5 init_poisoned=0 top_errors={'s1_fail': 11, 'RuntimeError': 4, 'forward_error': 3, 'rapid_screening_error': 3}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus sign_ste,False,False,False,False
tropical_matmul,D. graph-context misuse; G. shape/contract mismatch; L. niche op needing restricted placement,"obs=22 compile_rate=95.5% s1_rate=0.0% recent_obs=22 recent_s1=0 bf16_errors=8 init_poisoned=0 top_errors={'rapid_screening_error': 12, 'RuntimeError': 8, 'cuda_fatal': 1, 's1_fail': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus tropical_matmul,False,True,False,False
norm_last,K. structural/non-learnable op; L. niche op needing restricted placement,"obs=21 compile_rate=76.2% s1_rate=0.0% recent_obs=21 recent_s1=0 bf16_errors=4 init_poisoned=0 top_errors={'unstable_dynamics': 7, 's1_fail': 6, 'forward_error': 4, 'rapid_screening_error': 3}",research/synthesis/motifs.py / research/synthesis/templates.py,python -m research.tools.audit_low_s1_components --focus norm_last,False,True,False,True
sqrt,H. numerical instability; M. valid but weak,"obs=20 compile_rate=100.0% s1_rate=0.0% recent_obs=20 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 10, 'unstable_dynamics': 9, 'rapid_screening_error': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus sqrt,False,False,False,False
log,H. numerical instability; M. valid but weak,"obs=19 compile_rate=100.0% s1_rate=0.0% recent_obs=19 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 10, 'unstable_dynamics': 6, 'rapid_screening_error': 3}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus log,False,False,False,False
mod_topk,,"obs=19 compile_rate=89.5% s1_rate=0.0% recent_obs=19 recent_s1=0 bf16_errors=1 init_poisoned=0 top_errors={'rapid_screening_error': 11, 's1_fail': 6, 'forward_error': 2}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus mod_topk,False,False,False,False
sum_last,K. structural/non-learnable op; L. niche op needing restricted placement,"obs=17 compile_rate=94.1% s1_rate=0.0% recent_obs=17 recent_s1=0 bf16_errors=1 init_poisoned=0 top_errors={'s1_fail': 7, 'rapid_screening_error': 5, 'unstable_dynamics': 4, 'forward_error': 1}",research/synthesis/motifs.py / research/synthesis/templates.py,python -m research.tools.audit_low_s1_components --focus sum_last,False,True,False,True
max_last,K. structural/non-learnable op; L. niche op needing restricted placement,"obs=15 compile_rate=93.3% s1_rate=0.0% recent_obs=15 recent_s1=0 bf16_errors=1 init_poisoned=0 top_errors={'s1_fail': 11, 'RuntimeError': 1, 'unstable_dynamics': 1, 'rapid_screening_error': 1}",research/synthesis/motifs.py / research/synthesis/templates.py,python -m research.tools.audit_low_s1_components --focus max_last,False,True,False,True
mean_last,K. structural/non-learnable op; L. niche op needing restricted placement,"obs=15 compile_rate=80.0% s1_rate=0.0% recent_obs=15 recent_s1=0 bf16_errors=5 init_poisoned=0 top_errors={'rapid_screening_error': 5, 's1_fail': 4, 'RuntimeError': 3, 'forward_error': 3}",research/synthesis/motifs.py / research/synthesis/templates.py,python -m research.tools.audit_low_s1_components --focus mean_last,False,True,False,True
reciprocal,,"obs=10 compile_rate=100.0% s1_rate=0.0% recent_obs=10 recent_s1=0 bf16_errors=0 init_poisoned=0 top_errors={'s1_fail': 9, 'rapid_screening_error': 1}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus reciprocal,False,False,False,False
linear_attention,B. stale evidence from fixed bug; M. valid but weak,"obs=158 compile_rate=98.1% s1_rate=0.6% recent_obs=157 recent_s1=0 bf16_errors=115 init_poisoned=0 top_errors={'RuntimeError': 115, 'unstable_dynamics': 22, 'causality_violation': 11, 'rapid_screening_error': 5}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus linear_attention,False,False,True,False
identity,C. vocab/gate mismatch artifact; K. structural/non-learnable op; L. niche op needing restricted placement; N. telemetry/reporting ambiguity,"obs=306 compile_rate=94.8% s1_rate=0.7% recent_obs=306 recent_s1=2 bf16_errors=16 init_poisoned=20 top_errors={'causality_violation': 224, 's1_fail': 29, 'unstable_dynamics': 16, 'RuntimeError': 16}",research/synthesis/motifs.py / research/synthesis/templates.py,python -m research.tools.audit_low_s1_components --focus identity,False,True,True,True
progressive_compression_gate,B. stale evidence from fixed bug; D. graph-context misuse; L. niche op needing restricted placement,"obs=149 compile_rate=97.3% s1_rate=0.7% recent_obs=148 recent_s1=0 bf16_errors=112 init_poisoned=0 top_errors={'RuntimeError': 111, 'unstable_dynamics': 31, 'cuda_fatal': 3, 'rapid_screening_error': 2}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus progressive_compression_gate,False,True,True,False
softmax_attention,B. stale evidence from fixed bug; M. valid but weak,"obs=240 compile_rate=97.1% s1_rate=0.8% recent_obs=238 recent_s1=0 bf16_errors=142 init_poisoned=0 top_errors={'RuntimeError': 141, 'unstable_dynamics': 57, 'causality_violation': 21, 's1_fail': 6}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus softmax_attention,False,False,True,False
linear_proj_down,B. stale evidence from fixed bug; C. vocab/gate mismatch artifact,"obs=979 compile_rate=94.6% s1_rate=1.0% recent_obs=970 recent_s1=1 bf16_errors=745 init_poisoned=5 top_errors={'RuntimeError': 732, 'unstable_dynamics': 113, 's1_fail': 39, 'forward_error': 26}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus linear_proj_down,False,False,True,True
linear_proj_up,,"obs=990 compile_rate=95.8% s1_rate=1.3% recent_obs=981 recent_s1=4 bf16_errors=690 init_poisoned=5 top_errors={'RuntimeError': 679, 'unstable_dynamics': 133, 's1_fail': 76, 'causality_violation': 23}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus linear_proj_up,False,False,False,False
concat,B. stale evidence from fixed bug; C. vocab/gate mismatch artifact; K. structural/non-learnable op; L. niche op needing restricted placement,"obs=489 compile_rate=82.8% s1_rate=1.4% recent_obs=485 recent_s1=3 bf16_errors=194 init_poisoned=30 top_errors={'RuntimeError': 162, 's1_fail': 81, 'unstable_dynamics': 79, 'forward_error': 46}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus concat,False,True,True,True
hyp_linear,C. vocab/gate mismatch artifact; D. graph-context misuse; G. shape/contract mismatch; I. gradient explosion; L. niche op needing restricted placement,"obs=64 compile_rate=95.3% s1_rate=1.6% recent_obs=63 recent_s1=1 bf16_errors=1 init_poisoned=18 top_errors={'s1_fail': 38, 'rapid_screening_error': 11, 'failed_convergence': 5, 'inflight_grad_explosion': 4}",research/synthesis/compiler_ops_mathspaces.py,python -m research.tools.audit_low_s1_components --focus hyp_linear,False,True,True,True
hyp_tangent_nonlinear,C. vocab/gate mismatch artifact; D. graph-context misuse; G. shape/contract mismatch; I. gradient explosion; L. niche op needing restricted placement,"obs=64 compile_rate=95.3% s1_rate=1.6% recent_obs=63 recent_s1=1 bf16_errors=1 init_poisoned=18 top_errors={'s1_fail': 38, 'rapid_screening_error': 11, 'failed_convergence': 5, 'inflight_grad_explosion': 4}",research/synthesis/compiler_ops_mathspaces.py,python -m research.tools.audit_low_s1_components --focus hyp_tangent_nonlinear,False,True,True,True
rwkv_time_mixing,B. stale evidence from fixed bug; M. valid but weak,"obs=63 compile_rate=98.4% s1_rate=1.6% recent_obs=62 recent_s1=0 bf16_errors=50 init_poisoned=0 top_errors={'RuntimeError': 50, 'unstable_dynamics': 6, 'causality_violation': 5, 'forward_error': 1}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus rwkv_time_mixing,False,False,True,False
rope_rotate,B. stale evidence from fixed bug,"obs=57 compile_rate=98.2% s1_rate=1.8% recent_obs=56 recent_s1=0 bf16_errors=32 init_poisoned=0 top_errors={'RuntimeError': 32, 'unstable_dynamics': 15, 'rapid_screening_error': 4, 'causality_violation': 2}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus rope_rotate,False,False,True,False
split2,B. stale evidence from fixed bug; C. vocab/gate mismatch artifact; K. structural/non-learnable op; L. niche op needing restricted placement,"obs=389 compile_rate=88.2% s1_rate=1.8% recent_obs=385 recent_s1=3 bf16_errors=166 init_poisoned=30 top_errors={'RuntimeError': 162, 'unstable_dynamics': 79, 's1_fail': 49, 'nan_forward': 23}",research/synthesis/compiler.py::_cast_params_to,python -m research.tools.audit_low_s1_components --focus split2,False,True,True,True
fixed_point_iter,C. vocab/gate mismatch artifact; M. valid but weak,"obs=55 compile_rate=100.0% s1_rate=1.8% recent_obs=55 recent_s1=1 bf16_errors=10 init_poisoned=14 top_errors={'s1_fail': 30, 'rapid_screening_error': 12, 'RuntimeError': 10, 'unstable_dynamics': 1}",research/synthesis/compiler_ops_mathspaces.py,python -m research.tools.audit_low_s1_components --focus fixed_point_iter,False,False,True,True
transpose_sd,,"obs=55 compile_rate=94.5% s1_rate=1.8% recent_obs=55 recent_s1=1 bf16_errors=8 init_poisoned=21 top_errors={'s1_fail': 22, 'causality_violation': 11, 'rapid_screening_error': 8, 'RuntimeError': 7}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus transpose_sd,False,False,False,False
grouped_linear,C. vocab/gate mismatch artifact; I. gradient explosion; M. valid but weak,"obs=52 compile_rate=96.2% s1_rate=1.9% recent_obs=50 recent_s1=0 bf16_errors=9 init_poisoned=21 top_errors={'s1_fail': 32, 'RuntimeError': 8, 'unstable_dynamics': 3, 'rapid_screening_error': 3}",research/synthesis/compiler.py / compiler_ops_math.py / compiler_ops_attention.py,python -m research.tools.audit_low_s1_components --focus grouped_linear,False,False,True,True
